"fecha";"Run Fondo";"serie";"periodo";"rent"
2023-04-18;"8257";APV;YTD;-5.70%
2023-04-19;"8257";APV;"1M";-3.64%
2023-04-19;"8257";APV;"3M";-2.65%
2023-04-19;"8257";APV;"6M";-16.67%
2023-04-19;"8257";APV;"1Y";"0.43%"
2023-04-19;"8257";APV;YTD;-5.49%
2023-04-20;"8257";APV;"1M";-3.78%
2023-04-20;"8257";APV;"3M";-2.39%
2023-04-20;"8257";APV;"6M";-16.70%
2023-04-20;"8257";APV;"1Y";"0.01%"
2023-04-20;"8257";APV;YTD;-6.10%
2023-04-21;"8257";APV;"1M";-2.69%
2023-04-21;"8257";APV;"3M";-1.86%
2023-04-21;"8257";APV;"6M";-16.79%
2023-04-21;"8257";APV;"1Y";"0.37%"
2023-04-21;"8257";APV;YTD;-5.57%
2023-04-22;"8257";APV;"1M";-2.36%
2023-04-22;"8257";APV;"3M";-1.86%
2023-04-22;"8257";APV;"6M";-16.79%
2023-04-22;"8257";APV;"1Y";-1.61%
2023-04-22;"8257";APV;YTD;-5.56%
2023-04-23;"8257";APV;"1M";-0.72%
2023-04-23;"8257";APV;"3M";-1.02%
2023-04-23;"8257";APV;"6M";-16.78%
2023-04-23;"8257";APV;"1Y";-1.60%
2023-04-23;"8257";APV;YTD;-5.55%
2023-04-24;"8257";APV;"1M";"0.84%"
2023-04-24;"8257";APV;"3M";"2.40%"
2023-04-24;"8257";APV;"6M";-15.28%
2023-04-24;"8257";APV;"1Y";"0.74%"
2023-04-24;"8257";APV;YTD;-3.30%
2023-04-25;"8257";APV;"1M";"0.74%"
2023-04-25;"8257";APV;"3M";"2.52%"
2023-04-25;"8257";APV;"6M";-14.25%
2023-04-25;"8257";APV;"1Y";-1.29%
2023-04-25;"8257";APV;YTD;-3.39%
2023-04-26;"8257";APV;"1M";-0.34%
2023-04-26;"8257";APV;"3M";"1.57%"
2023-04-26;"8257";APV;"6M";-13.55%
2023-04-26;"8257";APV;"1Y";-1.96%
2023-04-26;"8257";APV;YTD;-4.41%
2023-04-27;"8257";APV;"1M";-0.18%
2023-04-27;"8257";APV;"3M";"1.05%"
2023-04-27;"8257";APV;"6M";-13.23%
2023-04-27;"8257";APV;"1Y";-2.37%
2023-04-27;"8257";APV;YTD;-4.82%
2023-04-28;"8257";APV;"1M";"0.88%"
2023-04-28;"8257";APV;"3M";"1.26%"
2023-04-28;"8257";APV;"6M";-12.21%
2023-04-28;"8257";APV;"1Y";-3.19%
2023-04-28;"8257";APV;YTD;-4.61%
2023-04-29;"8257";APV;"1M";"1.85%"
2023-04-29;"8257";APV;"3M";"1.26%"
2023-04-29;"8257";APV;"6M";-12.20%
2023-04-29;"8257";APV;"1Y";-2.52%
2023-04-29;"8257";APV;YTD;-4.59%
2023-04-30;"8257";APV;"1M";"2.22%"
2023-04-30;"8257";APV;"3M";"0.36%"
2023-04-30;"8257";APV;"6M";-12.20%
2023-04-30;"8257";APV;"1Y";-2.51%
2023-04-30;"8257";APV;YTD;-4.58%
2023-05-01;"8257";APV;"1M";"2.06%"
2023-05-01;"8257";APV;"3M";"2.70%"
2023-05-01;"8257";APV;"6M";-12.20%
2023-05-01;"8257";APV;"1Y";-2.49%
2023-05-01;"8257";APV;YTD;-4.57%
2023-05-02;"8257";APV;"1M";"2.76%"
2023-05-02;"8257";APV;"3M";"4.76%"
2023-05-02;"8257";APV;"6M";-11.74%
2023-05-02;"8257";APV;"1Y";-2.94%
2023-05-02;"8257";APV;YTD;-3.91%
2023-05-03;"8257";APV;"1M";"1.02%"
2023-05-03;"8257";APV;"3M";"3.43%"
2023-05-03;"8257";APV;"6M";-13.04%
2023-05-03;"8257";APV;"1Y";-2.82%
2023-05-03;"8257";APV;YTD;-4.22%
2023-05-04;"8257";APV;"1M";-0.82%
2023-05-04;"8257";APV;"3M";"2.72%"
2023-05-04;"8257";APV;"6M";-12.11%
2023-05-04;"8257";APV;"1Y";-3.76%
2023-05-04;"8257";APV;YTD;-4.86%
2023-05-05;"8257";APV;"1M";-1.40%
2023-05-05;"8257";APV;"3M";"2.07%"
2023-05-05;"8257";APV;"6M";-12.67%
2023-05-05;"8257";APV;"1Y";-4.77%
2023-05-05;"8257";APV;YTD;-5.45%
2023-05-06;"8257";APV;"1M";-1.94%
2023-05-06;"8257";APV;"3M";"0.06%"
2023-05-06;"8257";APV;"6M";-12.66%
2023-05-06;"8257";APV;"1Y";-4.15%
2023-05-06;"8257";APV;YTD;-5.43%
2023-05-07;"8257";APV;"1M";-1.94%
2023-05-07;"8257";APV;"3M";"0.72%"
2023-05-07;"8257";APV;"6M";-11.44%
2023-05-07;"8257";APV;"1Y";-4.14%
2023-05-07;"8257";APV;YTD;-5.42%
2023-05-08;"8257";APV;"1M";-2.19%
2023-05-08;"8257";APV;"3M";"1.26%"
2023-05-08;"8257";APV;"6M";-10.47%
2023-05-08;"8257";APV;"1Y";-4.37%
2023-05-08;"8257";APV;YTD;-5.65%
2023-05-09;"8257";APV;"1M";-2.31%
2023-05-09;"8257";APV;"3M";"0.75%"
2023-05-09;"8257";APV;"6M";-10.29%
2023-05-09;"8257";APV;"1Y";-5.61%
2023-05-09;"8257";APV;YTD;-5.75%
2023-05-10;"8257";APV;"1M";-3.65%
2023-05-10;"8257";APV;"3M";-0.37%
2023-05-10;"8257";APV;"6M";-9.69%
2023-05-10;"8257";APV;"1Y";-6.13%
2023-05-10;"8257";APV;YTD;-6.25%
2023-05-11;"8257";APV;"1M";-1.48%
2023-05-11;"8257";APV;"3M";"0.68%"
2023-05-11;"8257";APV;"6M";-8.11%
2023-05-11;"8257";APV;"1Y";-4.45%
2023-05-11;"8257";APV;YTD;-5.26%
2023-05-12;"8257";APV;"1M";-1.56%
2023-05-12;"8257";APV;"3M";-0.51%
2023-05-12;"8257";APV;"6M";-9.19%
2023-05-12;"8257";APV;"1Y";-6.23%
2023-05-12;"8257";APV;YTD;-6.36%
2023-05-13;"8257";APV;"1M";-0.69%
2023-05-13;"8257";APV;"3M";"0.37%"
2023-05-13;"8257";APV;"6M";-9.19%
2023-05-13;"8257";APV;"1Y";-5.47%
2023-05-13;"8257";APV;YTD;-6.35%
2023-05-14;"8257";APV;"1M";-0.87%
2023-05-14;"8257";APV;"3M";"0.91%"
2023-05-14;"8257";APV;"6M";-10.32%
2023-05-14;"8257";APV;"1Y";-5.46%
2023-05-14;"8257";APV;YTD;-6.34%
2023-05-15;"8257";APV;"1M";-1.33%
2023-05-15;"8257";APV;"3M";"0.05%"
2023-05-15;"8257";APV;"6M";-9.77%
2023-05-15;"8257";APV;"1Y";-5.88%
2023-05-15;"8257";APV;YTD;-6.76%
2023-05-16;"8257";APV;"1M";"0.06%"
2023-05-16;"8257";APV;"3M";"1.25%"
2023-05-16;"8257";APV;"6M";-9.15%
2023-05-16;"8257";APV;"1Y";-4.20%
2023-05-16;"8257";APV;YTD;-5.42%
2023-05-17;"8257";APV;"1M";-0.08%
2023-05-17;"8257";APV;"3M";"1.87%"
2023-05-17;"8257";APV;"6M";-11.33%
2023-05-17;"8257";APV;"1Y";-3.04%
2023-05-17;"8257";APV;YTD;-5.08%
2023-05-18;"8257";APV;"1M";"0.52%"
2023-05-18;"8257";APV;"3M";"1.72%"
2023-05-18;"8257";APV;"6M";-12.26%
2023-05-18;"8257";APV;"1Y";-3.07%
2023-05-18;"8257";APV;YTD;-5.21%
2023-05-19;"8257";APV;"1M";"0.43%"
2023-05-19;"8257";APV;"3M";"1.84%"
2023-05-19;"8257";APV;"6M";-12.15%
2023-05-19;"8257";APV;"1Y";-2.07%
2023-05-19;"8257";APV;YTD;-5.08%
2023-05-20;"8257";APV;"1M";"1.10%"
2023-05-20;"8257";APV;"3M";"1.91%"
2023-05-20;"8257";APV;"6M";-12.15%
2023-05-20;"8257";APV;"1Y";-1.03%
2023-05-20;"8257";APV;YTD;-5.07%
2023-05-21;"8257";APV;"1M";"0.55%"
2023-05-21;"8257";APV;"3M";"1.14%"
2023-05-21;"8257";APV;"6M";-13.79%
2023-05-21;"8257";APV;"1Y";-1.02%
2023-05-21;"8257";APV;YTD;-5.05%
2023-05-22;"8257";APV;"1M";"0.96%"
